time_from,time_to,region_from,region_to,Nnet_true
380,390,3,3,30
380,390,4,4,8
380,390,5,5,17
380,390,6,6,11
380,390,7,7,31
380,390,8,8,4
380,390,8,9,2
380,390,9,9,15
380,390,10,10,12
390,400,1,1,15
390,400,1,2,2
390,400,2,2,14
390,400,2,3,1
390,400,3,3,30
390,400,4,4,8
390,400,5,5,18
390,400,6,6,11
390,400,7,5,1
390,400,7,7,30
390,400,8,8,4
390,400,9,9,17
390,400,10,10,12
400,410,1,1,15
400,410,2,2,15
400,410,2,3,1
400,410,3,3,31
400,410,4,4,8
400,410,5,5,19
400,410,6,6,11
400,410,7,5,1
400,410,7,7,29
400,410,8,8,3
400,410,8,9,1
400,410,9,9,17
400,410,10,10,12
410,420,1,1,15
410,420,2,2,15
410,420,3,2,1
410,420,3,3,31
410,420,4,4,8
410,420,5,3,3
410,420,5,5,17
410,420,6,6,11
410,420,7,5,2
410,420,7,7,27
410,420,8,8,3
410,420,9,9,18
410,420,10,10,12
420,430,1,1,15
420,430,2,2,15
420,430,2,3,1
420,430,3,3,33
420,430,3,5,1
420,430,4,4,8
420,430,5,5,19
420,430,6,6,11
420,430,7,5,1
420,430,7,7,26
420,430,8,8,3
420,430,9,9,18
420,430,10,10,12
430,440,1,1,15
430,440,2,2,15
430,440,3,3,34
430,440,4,4,8
430,440,5,3,1
430,440,5,5,20
430,440,6,6,11
430,440,7,7,25
430,440,7,10,1
430,440,8,8,3
430,440,9,7,1
430,440,9,9,17
430,440,10,10,12
440,450,1,1,15
440,450,2,2,15
440,450,3,2,1
440,450,3,3,34
440,450,4,4,8
440,450,5,5,20
440,450,6,6,11
440,450,7,7,26
440,450,8,8,3
440,450,9,8,1
440,450,9,9,16
440,450,10,10,13
450,460,1,1,15
450,460,2,2,16
450,460,3,2,1
450,460,3,3,33
450,460,4,4,8
450,460,5,5,20
450,460,6,6,11
450,460,7,7,26
450,460,8,8,4
450,460,9,7,1
450,460,9,9,15
450,460,10,7,1
450,460,10,10,12
460,470,1,1,15
460,470,2,2,17
460,470,3,3,32
460,470,3,5,1
460,470,4,4,8
460,470,5,5,20
460,470,6,6,11
460,470,7,7,28
460,470,8,8,4
460,470,9,9,15
460,470,10,10,12
470,480,1,1,15
470,480,2,2,16
470,480,2,3,1
470,480,3,3,32
470,480,4,4,8
470,480,5,5,21
470,480,6,6,11
470,480,7,5,1
470,480,7,7,27
470,480,8,8,4
470,480,9,8,1
470,480,9,9,14
470,480,10,10,12
480,490,1,1,15
480,490,2,1,2
480,490,2,2,14
480,490,3,3,33
480,490,4,4,8
480,490,5,3,2
480,490,5,5,20
480,490,6,4,1
480,490,6,6,10
480,490,7,7,26
480,490,7,10,1
480,490,8,8,5
480,490,9,9,14
480,490,10,9,1
480,490,10,10,11
490,500,1,1,17
490,500,2,2,14
490,500,3,3,35
490,500,4,4,9
490,500,5,5,20
490,500,6,6,10
490,500,7,7,26
490,500,8,8,5
490,500,9,9,15
490,500,10,10,12
500,510,1,1,17
500,510,2,2,14
500,510,3,3,35
500,510,4,4,9
500,510,5,3,1
500,510,5,5,19
500,510,6,6,10
500,510,7,6,1
500,510,7,7,25
500,510,8,8,5
500,510,9,6,1
500,510,9,9,14
500,510,10,10,12
510,520,1,1,17
510,520,2,2,14
510,520,3,3,36
510,520,4,4,9
510,520,5,3,1
510,520,5,5,18
510,520,6,6,12
510,520,7,6,1
510,520,7,7,23
510,520,7,10,1
510,520,8,8,5
510,520,9,9,14
510,520,10,7,1
510,520,10,10,11
520,530,1,1,17
520,530,2,2,14
520,530,3,3,37
520,530,4,4,9
520,530,5,5,18
520,530,6,6,13
520,530,7,7,24
520,530,8,8,5
520,530,9,6,1
520,530,9,9,13
520,530,10,10,12
530,540,1,1,17
530,540,2,2,14
530,540,3,3,37
530,540,4,4,9
530,540,5,3,1
530,540,5,5,17
530,540,6,6,14
530,540,7,5,1
530,540,7,7,23
530,540,8,8,5
530,540,9,9,13
530,540,10,10,12
540,550,1,1,17
540,550,2,2,14
540,550,3,3,38
540,550,4,4,9
540,550,5,2,1
540,550,5,4,1
540,550,5,5,16
540,550,6,6,14
540,550,7,7,23
540,550,8,8,5
540,550,9,8,1
540,550,9,9,12
540,550,10,10,12
550,560,1,1,17
550,560,2,2,15
550,560,3,3,38
550,560,4,4,10
550,560,5,4,1
550,560,5,5,15
550,560,6,6,14
550,560,7,7,22
550,560,7,10,1
550,560,8,8,6
550,560,9,9,12
550,560,10,10,12
560,570,1,1,17
560,570,2,2,15
560,570,3,3,38
560,570,4,4,11
560,570,5,5,15
560,570,6,6,14
560,570,7,7,22
560,570,8,8,6
560,570,9,9,12
560,570,10,10,13
570,580,1,1,17
570,580,2,2,15
570,580,3,2,1
570,580,3,3,37
570,580,4,4,11
570,580,5,5,15
570,580,6,4,1
570,580,6,6,13
570,580,7,7,22
570,580,8,8,6
570,580,9,9,12
570,580,10,7,1
570,580,10,10,12
580,590,1,1,17
580,590,2,2,16
580,590,3,3,36
580,590,3,5,1
580,590,4,4,12
580,590,5,3,1
580,590,5,5,14
580,590,6,6,13
580,590,7,7,23
580,590,8,8,6
580,590,9,9,12
580,590,10,10,12
590,600,1,1,17
590,600,2,2,16
590,600,3,2,2
590,600,3,3,35
590,600,4,4,12
590,600,5,3,1
590,600,5,5,14
590,600,6,6,13
590,600,7,7,22
590,600,7,10,1
590,600,8,8,6
590,600,9,9,12
590,600,10,10,12
600,610,1,1,16
600,610,1,2,1
600,610,2,2,17
600,610,2,3,1
600,610,3,3,36
600,610,4,4,12
600,610,5,5,14
600,610,6,6,13
600,610,7,7,22
600,610,8,8,6
600,610,9,9,12
600,610,10,10,13
610,620,1,1,16
610,620,2,2,18
610,620,3,2,1
610,620,3,3,36
610,620,4,4,12
610,620,5,2,1
610,620,5,5,13
610,620,6,6,13
610,620,7,7,22
610,620,8,8,6
610,620,9,9,12
610,620,10,10,13
620,630,1,1,16
620,630,2,2,20
620,630,3,3,36
620,630,4,4,12
620,630,5,3,1
620,630,5,5,12
620,630,6,6,13
620,630,7,5,1
620,630,7,7,21
620,630,8,8,6
620,630,9,9,12
620,630,10,10,13
630,640,1,1,16
630,640,2,2,20
630,640,3,2,1
630,640,3,3,36
630,640,4,4,12
630,640,5,5,12
630,640,5,7,1
